date,country_code,project,article,qid,pageviews,total_pageviews,language,language_full
2024-08-03,AT,de.wikipedia,Imane_Khelif,,4040,9152417,de,German
2024-08-06,MX,en.wikipedia,Simone_Biles,Q7520267,1139,8555301,en,English
2024-08-02,TW,ja.wikipedia,メインページ,Q5296,1011,7253851,ja,Japanese
2024-07-29,IM,en.wikipedia,Deadpool_&_Wolverine,Q102180106,100,6751460,en,English
2024-07-29,US,fr.wikipedia,Kamala_Harris,Q10853588,112,5113097,fr,French
2024-08-04,AT,en.wikipedia,2024_Olympic_Games,Q995653,720,5068109,en,English
2024-07-29,UY,es.wikipedia,Michael_Phelps,Q39562,255,3501002,es,Spanish
2024-08-06,JE,en.wikipedia,Gwen_Walz,Q2434360,119,3192248,en,English
2024-08-07,AR,it.wikipedia,Pagina_principale,Q5296,468,3133998,it,Italian
2024-08-03,PR,en.wikipedia,Katie_Ledecky,Q137374,193,2897766,en,English
2024-08-06,NO,no.wikipedia,Armand_Duplantis,Q20740797,5367,2850608,no,Norwegian
2024-07-26,AR,es.wikipedia,Cleopatra,Q635,656,2154509,es,Spanish
2024-07-29,CI,fr.wikipedia,YouTube,Q866,105,2094745,fr,French
2024-08-03,AT,en.wikipedia,List_of_Olympic_Games_host_cities,Q2597028,99,2059805,en,English
2024-08-04,IE,en.wikipedia,Suni_Lee,Q59484397,507,1922667,en,English
2024-08-06,MA,en.wikipedia,All-time_Olympic_Games_medal_table,Q208519,155,1914965,en,English
2024-07-30,IL,en.wikipedia,Jonathan_Owens,Q61959593,364,1867788,en,English
2024-08-07,MD,en.wikipedia,Tim_Waltz,Q2434360,104,1768870,en,English
2024-08-06,TW,en.wikipedia,Usain_Bolt,Q1189,161,1752115,en,English
2024-08-07,US,fr.wikipedia,Teddy_Riner,Q353514,117,1680133,fr,French
2024-08-03,NZ,en.wikipedia,India_at_the_2024_Summer_Olympics,Q114344830,135,1664838,en,English
2024-07-29,US,simple.wikipedia,Tim_Walz,Q2434360,169,1645633,simple,Simple English
2024-08-06,RS,en.wikipedia,House_of_the_Dragon,Q72930269,491,1614686,en,English
2024-07-29,RO,en.wikipedia,Celine_Dion,Q5105,324,1600265,en,English
2024-08-06,TW,en.wikipedia,Noah_Lyles,Q15989263,199,1575348,en,English
2024-08-04,RS,en.wikipedia,Ryan_Reynolds,Q192682,101,1573907,en,English
2024-07-26,ES,es.wikipedia,Léon_Marchand,Q63246909,349,1521913,es,Spanish
2024-07-29,CH,de.wikipedia,Snoop_Dogg,Q6096,155,1516888,de,German
2024-07-29,GR,en.wikipedia,LeBron_James,Q36159,458,1494682,en,English
2024-07-29,DE,en.wikipedia,Blake_Lively,Q162959,601,1458242,en,English
2024-08-10,TZ,en.wikipedia,.xxx,Q481,399,1428222,en,English
2024-08-03,MX,en.wikipedia,Doctor_Doom,Q430178,134,1351217,en,English
2024-08-07,SG,en.wikipedia,Sheikh_Hasina,Q52183,2427,1344139,en,English
2024-07-28,ID,en.wikipedia,Trap_(2024_film),Q124077893,116,1326341,en,English
2024-08-03,IT,pt.wikipedia,Rebeca_Andrade,Q10357885,100,1310891,pt,Portuguese
2024-08-02,SG,en.wikipedia,Donald_Harris_(professor),Q60894135,616,1304458,en,English
2024-07-29,AU,es.wikipedia,Nicolás_Maduro,Q58132,175,1304006,es,Spanish
2024-08-02,ES,en.wikipedia,Josh_Shapiro,Q6289368,270,1294089,en,English
2024-07-29,NZ,en.wikipedia,Sha'Carri_Richardson,Q64514634,142,1293094,en,English
2024-07-26,CH,en.wikipedia,2028_Summer_Olympics,Q1451505,421,1286403,en,English
2024-08-06,HR,en.wikipedia,Elon_Musk,Q317521,127,1255598,en,English
2024-08-06,ES,es.wikipedia,Gabrielle_Thomas,Q107355157,2937,1251965,es,Spanish
2024-08-06,FR,en.wikipedia,Steven_Van_de_Velde,Q13427452,491,1208065,en,English
2024-08-07,FR,en.wikipedia,Vinesh_Phogat,Q17466644,1101,1198710,en,English
2024-08-03,IT,en.wikipedia,Nadia_Comăneci,Q33228,208,1176879,en,English
2024-07-28,CA,fr.wikipedia,Victor_Wembanyama,Q72941595,229,1168623,fr,French
2024-07-30,GB,en.wikipedia,Hugh_Jackman,Q129591,6138,1162813,en,English
2024-08-08,ES,en.wikipedia,Tom_Daley,Q313885,93,1144373,en,English
2024-08-06,UY,es.wikipedia,Cleopatra_I_de_Egipto,Q40252,511,1121542,es,Spanish
2024-08-02,FR,en.wikipedia,Twisters_(film),Q115932556,161,1101468,en,English
2024-07-29,GR,en.wikipedia,2024_deaths,Q123489953,321,1053448,en,English
2024-07-30,PL,en.wikipedia,Project_2025,Q122382481,360,1038384,en,English
2024-08-04,CH,de.wikipedia,Novak_Djokovic,Q5812,2940,1032868,de,German
2024-07-28,NO,en.wikipedia,Manu_Bhaker,Q50351453,146,1026526,en,English
2024-08-09,FI,en.wikipedia,India_at_the_Olympics,Q749175,114,1024151,en,English
2024-08-03,JP,en.wikipedia,J._D._Vance,Q28935729,163,1023606,en,English
2024-08-04,DK,en.wikipedia,Lin_Yu-ting,Q16905504,423,1000648,en,English
2024-07-26,MY,en.wikipedia,Lady_Gaga,Q19848,679,997330,en,English
2024-08-03,GT,en.wikipedia,Yusuf_Dikec,Q8061940,273,992069,en,English
2024-08-03,BE,en.wikipedia,2024_Summer_Olympics_medal_table,Q111817408,426,991465,en,English
