date,country_code,project,article,qid,pageviews,total_pageviews,language,language_full
2024-08-17,DE,ja.wikipedia,メインページ,Q5296,1122,13229205,ja,Japanese
2024-09-07,FR,fr.wikipedia,Cookie_(informatique),Q178995,105,6836135,fr,French
2024-08-13,DE,en.wikipedia,Kamala_Harris,Q10853588,1054,5094865,en,English
2024-08-25,CH,it.wikipedia,Alain_Delon,Q106529,103,4548614,it,Italian
2024-08-17,FI,en.wikipedia,Deadpool_&_Wolverine,Q102180106,444,4409433,en,English
2024-09-11,CA,en.wikipedia,Cleopatra,Q635,1428,4141296,en,English
2024-08-15,NZ,en.wikipedia,Stree_2,Q124254266,311,3607745,en,English
2024-08-21,RO,en.wikipedia,Alien:_Romulus,Q115932544,456,3588836,en,English
2024-08-21,MA,fr.wikipedia,.xxx,Q481,241,3285665,fr,French
2024-08-13,RU,ru.wikipedia,YouTube,Q866,15297,2882228,ru,Russian
2024-09-11,NZ,en.wikipedia,James_Earl_Jones,Q203960,1543,2811294,en,English
2024-08-17,US,es.wikipedia,Cleopatra_I_de_Egipto,Q40252,4261,2156887,es,Spanish
2024-09-04,AR,es.wikipedia,Beetlejuice,Q320384,964,2050758,es,Spanish
2024-08-13,JP,ja.wikipedia,斎藤元彦,Q107917854,4511,1967185,ja,Japanese
2024-08-21,CI,fr.wikipedia,Cristiano_Ronaldo,Q11571,158,1911774,fr,French
2024-08-25,IT,it.wikipedia,Jannik_Sinner,Q54812588,2387,1848593,it,Italian
2024-08-17,CA,fr.wikipedia,ChatGPT,Q115564437,92,1828249,fr,French
2024-08-13,PL,pl.wikipedia,Blake_Lively,Q162959,963,1809015,pl,Polish
2024-08-15,CA,en.wikipedia,Murder_of_Laci_Peterson,Q6937947,12036,1738845,en,English
2024-08-17,LK,en.wikipedia,The_Greatest_of_All_Time,Q122921080,512,1728118,en,English
2024-08-25,CA,en.wikipedia,Elon_Musk,Q317521,1605,1684756,en,English
2024-08-21,TW,ja.wikipedia,田中敦子_(声優),Q1208611,401,1675553,ja,Japanese
2024-08-21,CR,en.wikipedia,Black_Myth:_Wukong,Q98582386,146,1664611,en,English
2024-08-25,US,ru.wikipedia,Яндекс,Q5281,1885,1625715,ru,Russian
2024-08-11,MX,en.wikipedia,Twisters_(film),Q115932556,211,1604849,en,English
2024-09-03,SG,en.wikipedia,Kalki_2898_AD,Q112430183,243,1553665,en,English
2024-09-03,ES,en.wikipedia,Trap_(2024_film),Q124077893,210,1548950,en,English
2024-09-09,LU,en.wikipedia,Emily_Armstrong_(musician),,104,1546278,en,English
2024-08-26,SG,en.wikipedia,Oasis_(band),Q382890,386,1517212,en,English
2024-09-05,FR,fr.wikipedia,Gouvernement_Michel_Barnier,Q438465,1380250,1516015,fr,French
2024-09-08,SI,en.wikipedia,Linkin_Park,Q261,265,1474651,en,English
2024-08-19,DE,en.wikipedia,It_Ends_with_Us_(film),Q118641054,1098,1457565,en,English
2024-08-21,PH,en.wikipedia,Longlegs,Q116470610,189,1442691,en,English
2024-08-25,NZ,en.wikipedia,2024_deaths,Q123489953,687,1409102,en,English
2024-09-03,BR,pt.wikipedia,Chappell_Roan,Q110281146,266,1369590,pt,Portuguese
