,date,country_code,project,article,qid,pageviews,total_pageviews,language
0,2024-08-04,UA,en.wikipedia,Imane_Khelif,Q107711236,1471,9152417,en
1,2024-07-26,CA,en.wikipedia,Simone_Biles,Q7520267,3820,8555301,en
2,2024-07-26,SE,en.wikipedia,Deadpool_&_Wolverine,Q102180106,1244,6751460,en
3,2024-07-30,AT,de.wikipedia,Kamala_Harris,Q10853588,942,5113097,de
4,2024-08-08,LB,en.wikipedia,2024_Olympic_Games,Q995653,173,5068109,en
5,2024-08-04,PH,en.wikipedia,Michael_Phelps,Q39562,2612,3501002,en
6,2024-08-08,MY,en.wikipedia,Gwen_Walz,,107,3192248,en
7,2024-07-30,IL,en.wikipedia,Katie_Ledecky,Q137374,210,2897766,en
8,2024-08-08,NZ,en.wikipedia,Armand_Duplantis,Q20740797,698,2850608,en
9,2024-07-26,PH,en.wikipedia,Cleopatra,Q635,6909,2154509,en
10,2024-07-26,NG,en.wikipedia,YouTube,Q866,256,2094745,en
11,2024-07-30,IL,en.wikipedia,List_of_Olympic_Games_host_cities,Q2597028,147,2059805,en
12,2024-08-06,ID,en.wikipedia,Suni_Lee,Q59484397,665,1922667,en
13,2024-08-06,JP,en.wikipedia,All-time_Olympic_Games_medal_table,Q208519,333,1914965,en
14,2024-08-04,KE,en.wikipedia,Jonathan_Owens,Q61959593,98,1867788,en
15,2024-08-07,TN,en.wikipedia,Tim_Waltz,Q2434360,105,1768870,en
16,2024-08-04,ES,en.wikipedia,Usain_Bolt,Q1189,879,1752115,en
17,2024-07-26,FI,fi.wikipedia,Teddy_Riner,Q353514,855,1680133,fi
18,2024-08-08,LK,en.wikipedia,India_at_the_2024_Summer_Olympics,Q114344830,141,1664838,en
19,2024-08-04,IN,en.wikipedia,Tim_Walz,Q2434360,188,1645633,en
20,2024-08-04,BE,nl.wikipedia,House_of_the_Dragon,Q72930269,138,1614686,nl
21,2024-07-29,FR,en.wikipedia,Celine_Dion,Q5105,731,1600265,en
22,2024-08-08,UY,es.wikipedia,Noah_Lyles,Q15989263,95,1575348,es
